EnergyStock [rank=1, symbol=GEVO, quantRating=4.96, marketCapInBillions=0.6896442, divYield=0.0]
EnergyStock [rank=2, symbol=ESOA, quantRating=4.89, marketCapInBillions=0.17946051, divYield=0.0055401665]
EnergyStock [rank=3, symbol=VIST, quantRating=4.8, marketCapInBillions=5.046166, divYield=0.0]
EnergyStock [rank=4, symbol=BKR, quantRating=4.79, marketCapInBillions=37.127007, divYield=0.022121534]
EnergyStock [rank=5, symbol=SEI, quantRating=4.73, marketCapInBillions=0.5905185, divYield=0.03576751]
EnergyStock [rank=6, symbol=LNG, quantRating=4.72, marketCapInBillions=41.844692, divYield=0.009408966]
EnergyStock [rank=7, symbol=BTU, quantRating=4.65, marketCapInBillions=3.07196, divYield=0.012295082]
EnergyStock [rank=8, symbol=MPLX, quantRating=4.6, marketCapInBillions=44.83428, divYield=0.07739586]
EnergyStock [rank=9, symbol=GASS, quantRating=4.48, marketCapInBillions=0.21983188, divYield=0.0]
EnergyStock [rank=10, symbol=SUN, quantRating=4.42, marketCapInBillions=7.1004534, divYield=0.065795824]
EnergyStock [rank=11, symbol=CESDF, quantRating=4.42, marketCapInBillions=1.2960006, divYield=0.015088993]
EnergyStock [rank=12, symbol=SND, quantRating=4.38, marketCapInBillions=0.09057501, divYield=0.0]
EnergyStock [rank=13, symbol=FLNG, quantRating=4.29, marketCapInBillions=1.3247607, divYield=0.12214984]
EnergyStock [rank=14, symbol=USAC, quantRating=4.28, marketCapInBillions=2.5835235, divYield=0.0951087]
EnergyStock [rank=15, symbol=CNX, quantRating=4.26, marketCapInBillions=5.4588494, divYield=0.0]
EnergyStock [rank=16, symbol=REX, quantRating=4.26, marketCapInBillions=0.79210293, divYield=0.0]
EnergyStock [rank=17, symbol=HP, quantRating=4.21, marketCapInBillions=3.406074, divYield=0.028993912]
EnergyStock [rank=18, symbol=ET, quantRating=4.07, marketCapInBillions=56.295746, divYield=0.07689969]
EnergyStock [rank=19, symbol=WKC, quantRating=3.84, marketCapInBillions=1.533247, divYield=0.024621213]
EnergyStock [rank=20, symbol=EPD, quantRating=3.8, marketCapInBillions=63.047264, divYield=0.0707401]
EnergyStock [rank=21, symbol=HMENF, quantRating=3.76, marketCapInBillions=0.13156924, divYield=0.06857781]
EnergyStock [rank=22, symbol=EE, quantRating=3.75, marketCapInBillions=2.485157, divYield=0.0043084878]
EnergyStock [rank=23, symbol=WES, quantRating=3.74, marketCapInBillions=14.62285, divYield=0.07546188]
EnergyStock [rank=24, symbol=IMO, quantRating=3.72, marketCapInBillions=39.817883, divYield=0.022279117]
EnergyStock [rank=25, symbol=COP, quantRating=3.71, marketCapInBillions=121.42027, divYield=0.026013771]
EnergyStock [rank=26, symbol=PAGP, quantRating=3.68, marketCapInBillions=4.1691585, divYield=0.06808036]
EnergyStock [rank=27, symbol=EFXT, quantRating=3.68, marketCapInBillions=0.8033528, divYield=0.011327161]
EnergyStock [rank=28, symbol=PDS, quantRating=3.67, marketCapInBillions=0.8276155, divYield=0.0]
EnergyStock [rank=29, symbol=DYLLF, quantRating=3.65, marketCapInBillions=0.91567785, divYield=0.0]
EnergyStock [rank=30, symbol=CEIX, quantRating=3.53, marketCapInBillions=3.168002, divYield=0.00231954]
EnergyStock [rank=31, symbol=PR, quantRating=3.53, marketCapInBillions=11.163288, divYield=0.03666427]
EnergyStock [rank=32, symbol=NVGS, quantRating=3.51, marketCapInBillions=1.1030848, divYield=0.012618296]
EnergyStock [rank=33, symbol=GPOR, quantRating=3.51, marketCapInBillions=2.6018062, divYield=0.0]
EnergyStock [rank=34, symbol=STNG, quantRating=3.51, marketCapInBillions=2.9477932, divYield=0.02499194]
EnergyStock [rank=35, symbol=MGY, quantRating=3.5, marketCapInBillions=5.177111, divYield=0.019423077]
EnergyStock [rank=36, symbol=LEU, quantRating=3.48, marketCapInBillions=1.3999125, divYield=0.0]
EnergyStock [rank=37, symbol=TRGP, quantRating=3.44, marketCapInBillions=36.358467, divYield=0.015063871]
EnergyStock [rank=38, symbol=USEG, quantRating=3.41, marketCapInBillions=0.043482088, divYield=0.0]
EnergyStock [rank=39, symbol=YPF, quantRating=3.4, marketCapInBillions=11.959105, divYield=0.0]
EnergyStock [rank=40, symbol=XOM, quantRating=3.39, marketCapInBillions=530.87335, divYield=0.031801824]
EnergyStock [rank=41, symbol=GTE, quantRating=3.37, marketCapInBillions=0.19524825, divYield=0.0]
EnergyStock [rank=42, symbol=VTOL, quantRating=3.34, marketCapInBillions=0.98102504, divYield=0.0]
EnergyStock [rank=43, symbol=RCON, quantRating=3.33, marketCapInBillions=0.05197353, divYield=0.0]
EnergyStock [rank=44, symbol=CQP, quantRating=3.3, marketCapInBillions=23.592287, divYield=0.08093968]
EnergyStock [rank=45, symbol=CLCO, quantRating=3.3, marketCapInBillions=0.563757, divYield=0.15428033]
EnergyStock [rank=46, symbol=CAPL, quantRating=3.29, marketCapInBillions=0.8153405, divYield=0.09799347]
EnergyStock [rank=47, symbol=NGS, quantRating=3.27, marketCapInBillions=0.25232956, divYield=0.0]
EnergyStock [rank=48, symbol=SHEL, quantRating=3.27, marketCapInBillions=205.29004, divYield=0.04077786]
EnergyStock [rank=49, symbol=KNTK, quantRating=3.26, marketCapInBillions=7.8192377, divYield=0.06043513]
EnergyStock [rank=50, symbol=GIFI, quantRating=3.26, marketCapInBillions=0.0905095, divYield=0.0]
EnergyStock [rank=51, symbol=CVX, quantRating=3.25, marketCapInBillions=275.819, divYield=0.042437505]
EnergyStock [rank=52, symbol=OKE, quantRating=3.25, marketCapInBillions=56.456585, divYield=0.04060625]
EnergyStock [rank=53, symbol=SLNG, quantRating=3.24, marketCapInBillions=0.086884946, divYield=0.0]
EnergyStock [rank=54, symbol=KMI, quantRating=3.24, marketCapInBillions=55.429924, divYield=0.04569138]
EnergyStock [rank=55, symbol=FTI, quantRating=3.22, marketCapInBillions=11.264989, divYield=0.00755287]
EnergyStock [rank=56, symbol=DTM, quantRating=3.22, marketCapInBillions=8.486589, divYield=0.03312736]
EnergyStock [rank=57, symbol=WMB, quantRating=3.22, marketCapInBillions=63.99389, divYield=0.035666667]
EnergyStock [rank=58, symbol=WHD, quantRating=3.21, marketCapInBillions=4.63686, divYield=0.008407687]
EnergyStock [rank=59, symbol=HLX, quantRating=3.2, marketCapInBillions=1.4206467, divYield=0.0]
EnergyStock [rank=60, symbol=PBR, quantRating=3.19, marketCapInBillions=85.890144, divYield=0.0]
EnergyStock [rank=61, symbol=TTE, quantRating=3.18, marketCapInBillions=148.60242, divYield=0.05119646]
EnergyStock [rank=62, symbol=BP, quantRating=3.18, marketCapInBillions=82.804825, divYield=0.056744926]
EnergyStock [rank=63, symbol=ENB, quantRating=3.17, marketCapInBillions=89.21237, divYield=0.065130316]
EnergyStock [rank=64, symbol=TGS, quantRating=3.16, marketCapInBillions=3.9663248, divYield=0.0]
EnergyStock [rank=65, symbol=CLMT, quantRating=3.14, marketCapInBillions=1.8192283, divYield=0.0]
EnergyStock [rank=66, symbol=KGS, quantRating=3.14, marketCapInBillions=2.6188612, divYield=0.04942602]
EnergyStock [rank=67, symbol=PBR.A, quantRating=3.13, marketCapInBillions=85.890144, divYield=0.0]
EnergyStock [rank=68, symbol=EQNR, quantRating=3.12, marketCapInBillions=70.687546, divYield=0.05102041]
EnergyStock [rank=69, symbol=TRP, quantRating=3.12, marketCapInBillions=49.051632, divYield=0.054396965]
EnergyStock [rank=70, symbol=EOG, quantRating=3.11, marketCapInBillions=70.03441, divYield=0.02955265]
